,geometry,class,confidence,tile_id,original_yolo,normalized,bbox_coords,x,y
552,POINT (2221922.730509138 6457673.9118309785),Truck,0.950240969657898,9,"{'x1': 504.09515380859375, 'y1': 574.89404296875, 'x2': 44.693458557128906, 'y2': 40.487308502197266}","{'x': 0.4287411212921143, 'y': 0.48076667785644533}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221922.730509138,6457673.9118309785
89,POINT (2221945.8206988336 6457555.2559336),Truck,0.9363414645195007,2,"{'x1': 215.83547973632812, 'y1': 207.89999389648438, 'x2': 37.39872741699219, 'y2': 40.68587112426758}","{'x': 0.1978392243385315, 'y': 0.19420770406723023}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221945.8206988336,6457555.2559336
984,POINT (2221779.4729758264 6457834.602028923),Truck,0.924663782119751,21,"{'x1': 38.81136703491211, 'y1': 332.3552551269531, 'x2': 39.67369079589844, 'y2': 35.860626220703125}","{'x': 0.06131645441055298, 'y': 0.28766865730285646}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221779.4729758264,6457834.602028923
532,POINT (2221915.484463072 6457668.767616348),Truck,0.9235861301422119,9,"{'x1': 599.3499755859375, 'y1': 507.97833251953125, 'x2': 42.18805694580078, 'y2': 41.55707550048828}","{'x': 0.501201581954956, 'y': 0.4293245315551758}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221915.484463072,6457668.767616348
68,POINT (2221921.4342511655 6457540.599293308),Truck,0.9201728701591492,2,"{'x1': 524.806640625, 'y1': 26.699684143066406, 'x2': 40.574066162109375, 'y2': 34.28118133544922}","{'x': 0.44170370101928713, 'y': 0.04764130115509033}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221921.4342511655,6457540.599293308
419,POINT (2221734.8923076154 6457651.431560116),Truck,0.9183668494224548,7,"{'x1': 620.0662231445312, 'y1': 281.8052978515625, 'x2': 29.0513858795166, 'y2': 45.828582763671875}","{'x': 0.5071231365203858, 'y': 0.25596396923065184}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221734.8923076154,6457651.431560116
1271,POINT (2222108.6508787633 6457857.237288551),Truck,0.9176814556121826,25,"{'x1': 438.9658203125, 'y1': 621.9396362304688, 'x2': 34.042083740234375, 'y2': 36.007545471191406}","{'x': 0.36953742504119874, 'y': 0.5140212535858154}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222108.6508787633,6457857.237288551
650,POINT (2222038.301287985 6457663.269905644),Truck,0.9176217317581177,10,"{'x1': 182.11277770996094, 'y1': 441.9645690917969, 'x2': 39.36988830566406, 'y2': 37.20012664794922}","{'x': 0.17303333282470704, 'y': 0.3743474245071411}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222038.301287985,6457663.269905644
619,POINT (2222050.447764492 6457668.690025406),Truck,0.9128917455673218,10,"{'x1': 23.73621368408203, 'y1': 507.73101806640625, 'x2': 42.27155303955078, 'y2': 40.81121826171875}","{'x': 0.051568567752838135, 'y': 0.42854862213134765}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222050.447764492,6457668.690025406
1308,POINT (2221830.4424537183 6457924.999296265),Truck,0.9037402868270874,29,"{'x1': 556.3682250976562, 'y1': 325.51190185546875, 'x2': 21.707496643066406, 'y2': 47.78898620605469}","{'x': 0.45162167549133303, 'y': 0.2916413307189941}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221830.4424537183,6457924.999296265
63,POINT (2221960.503108597 6457564.021458225),Truck,0.9037319421768188,2,"{'x1': 26.27724838256836, 'y1': 338.9312438964844, 'x2': 39.02210998535156, 'y2': 21.853334426879883}","{'x': 0.05101512670516968, 'y': 0.2818629503250122}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221960.503108597,6457564.021458225
373,POINT (2221780.3330946923 6457646.461808281),Truck,0.9018831253051758,7,"{'x1': 44.23943328857422, 'y1': 215.32777404785156, 'x2': 23.236103057861328, 'y2': 48.69329071044922}","{'x': 0.05271526575088501, 'y': 0.206266450881958}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221780.3330946923,6457646.461808281
1321,POINT (2221829.9798120023 6457934.972810345),Truck,0.8995530605316162,29,"{'x1': 562.1121215820312, 'y1': 454.38568115234375, 'x2': 21.885456085205078, 'y2': 46.576210021972656}","{'x': 0.4562480926513672, 'y': 0.3913764715194702}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221829.9798120023,6457934.972810345
87,POINT (2221932.401324606 6457552.141035395),Truck,0.8987299203872681,2,"{'x1': 380.23712158203125, 'y1': 167.58151245117188, 'x2': 44.76506042480469, 'y2': 41.13364791870117}","{'x': 0.3320329666137695, 'y': 0.16305872201919555}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221932.401324606,6457552.141035395
398,POINT (2221744.9484361173 6457656.30970438),Truck,0.8981599807739258,7,"{'x1': 491.5677185058594, 'y1': 342.92987060546875, 'x2': 28.831470489501953, 'y2': 47.14424514770508}","{'x': 0.40656185150146484, 'y': 0.30474541187286375}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221744.9484361173,6457656.30970438
1197,POINT (2221960.439843631 6457825.379439192),Truck,0.8967477083206177,23,"{'x1': 42.5256233215332, 'y1': 200.69711303710938, 'x2': 23.583532333374023, 'y2': 49.46962356567383}","{'x': 0.05164777636528015, 'y': 0.19544275999069213}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221960.439843631,6457825.379439192
1285,POINT (2221844.3559850217 6457933.639137344),Truck,0.8962519764900208,29,"{'x1': 381.0711669921875, 'y1': 445.6357727050781, 'x2': 18.911375045776367, 'y2': 38.25510025024414}","{'x': 0.3124863624572754, 'y': 0.3780397415161133}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221844.3559850217,6457933.639137344
7,POINT (2221825.4704726697 6457564.0779372025),Truck,0.8922901153564453,1,"{'x1': 602.202392578125, 'y1': 339.1408996582031, 'x2': 39.51472091674805, 'y2': 22.366600036621094}","{'x': 0.5013414859771729, 'y': 0.2824277400970459}","{'minx': 2221775.6046212674, 'miny': 6457535.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457635.835163193}",2221825.4704726697,6457564.0779372025
757,POINT (2222289.1834343434 6457653.152994709),Truck,0.8922034502029419,13,"{'x1': 440.16119384765625, 'y1': 300.4522705078125, 'x2': 26.030012130737305, 'y2': 49.215972900390625}","{'x': 0.36421186923980714, 'y': 0.27317831516265867}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222289.1834343434,6457653.152994709
488,POINT (2221869.939524627 6457651.411213474),Truck,0.890963077545166,8,"{'x1': 44.28326416015625, 'y1': 281.9236755371094, 'x2': 28.229970932006836, 'y2': 45.44977569580078}","{'x': 0.05665096640586853, 'y': 0.2557605028152466}","{'minx': 2221775.6046212674, 'miny': 6457625.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457725.835163193}",2221869.939524627,6457651.411213474
638,POINT (2222019.385732508 6457653.708698349),Truck,0.8894073367118835,10,"{'x1': 420.4129943847656, 'y1': 310.1292419433594, 'x2': 43.18877410888672, 'y2': 46.652015686035156}","{'x': 0.3621888875961304, 'y': 0.2787353515625}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222019.385732508,6457653.708698349
498,POINT (2221865.6030429364 6457662.578410702),Truck,0.8873372077941895,8,"{'x1': 95.53483581542969, 'y1': 420.8002624511719, 'x2': 32.48537063598633, 'y2': 49.51329803466797}","{'x': 0.10001578330993652, 'y': 0.36743247509002686}","{'minx': 2221775.6046212674, 'miny': 6457625.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457725.835163193}",2221865.6030429364,6457662.578410702
338,POINT (2222226.9650841714 6457554.418785172),Truck,0.8867033123970032,5,"{'x1': 85.33362579345703, 'y1': 192.56089782714844, 'x2': 25.252452850341797, 'y2': 45.30946731567383}","{'x': 0.0863953709602356, 'y': 0.18583621978759765}","{'minx': 2222135.6046212674, 'miny': 6457535.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457635.835163193}",2222226.9650841714,6457554.418785172
335,POINT (2222219.069978094 6457552.865970926),Truck,0.8844804763793945,5,"{'x1': 185.80825805664062, 'y1': 172.7410888671875, 'x2': 25.835172653198242, 'y2': 45.25325393676758}","{'x': 0.16534643173217772, 'y': 0.17030807733535766}","{'minx': 2222135.6046212674, 'miny': 6457535.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457635.835163193}",2222219.069978094,6457552.865970926
783,POINT (2222308.3318985463 6457638.811060982),Truck,0.8840017318725586,13,"{'x1': 186.90382385253906, 'y1': 125.23887634277344, 'x2': 34.18702697753906, 'y2': 40.85260772705078}","{'x': 0.17272722721099854, 'y': 0.12975897789001464}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222308.3318985463,6457638.811060982
394,POINT (2221779.414531088 6457654.231907921),Truck,0.8837478160858154,7,"{'x1': 53.56596374511719, 'y1': 315.0378112792969, 'x2': 25.667192459106445, 'y2': 48.440513610839844}","{'x': 0.061900901794433597, 'y': 0.2839674472808838}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221779.414531088,6457654.231907921
1031,POINT (2221772.419213152 6457842.402877407),Truck,0.8805984258651733,21,"{'x1': 128.72251892089844, 'y1': 419.33624267578125, 'x2': 40.05070877075195, 'y2': 48.73050308227539}","{'x': 0.13185408115386962, 'y': 0.36567714214324953}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221772.419213152,6457842.402877407
642,POINT (2222032.4516952992 6457655.301305847),Truck,0.8799328804016113,10,"{'x1': 257.6838684082031, 'y1': 341.5335998535156, 'x2': 38.67359161376953, 'y2': 35.63302993774414}","{'x': 0.23152925968170165, 'y': 0.2946614265441895}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222032.4516952992,6457655.301305847
1201,POINT (2221960.6954015256 6457830.687315064),Truck,0.8798384666442871,23,"{'x1': 36.648040771484375, 'y1': 265.6353759765625, 'x2': 26.189970016479492, 'y2': 52.47217559814453}","{'x': 0.04909219741821289, 'y': 0.2485215187072754}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221960.6954015256,6457830.687315064
485,POINT (2221863.9365769387 6457673.951785164),Truck,0.8794477581977844,8,"{'x1': 116.24794006347656, 'y1': 567.6549072265625, 'x2': 33.103031158447266, 'y2': 48.23782730102539}","{'x': 0.11668044328689575, 'y': 0.4811662197113037}","{'minx': 2221775.6046212674, 'miny': 6457625.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457725.835163193}",2221863.9365769387,6457673.951785164
139,POINT (2221952.9630042077 6457583.8657494355),Truck,0.879303514957428,2,"{'x1': 137.0679931640625, 'y1': 567.6311645507812, 'x2': 24.744699478149414, 'y2': 47.160343170166016}","{'x': 0.1264161705970764, 'y': 0.4803058624267578}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221952.9630042077,6457583.8657494355
1068,POINT (2221826.881433821 6457809.350124793),Truck,0.8788138628005981,22,"{'x1': 603.7738647460938, 'y1': 14.38068962097168, 'x2': 19.882919311523438, 'y2': 30.610816955566406}","{'x': 0.4872318744659424, 'y': 0.035149616003036496}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221826.881433821,6457809.350124793
1353,POINT (2221826.808048582 6457945.043370323),Truck,0.8786920309066772,29,"{'x1': 601.9844970703125, 'y1': 581.0650024414062, 'x2': 22.611648559570312, 'y2': 48.800052642822266}","{'x': 0.487965726852417, 'y': 0.4920820713043213}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221826.808048582,6457945.043370323
1114,POINT (2221830.762792921 6457835.938436585),Truck,0.8778221011161804,22,"{'x1': 539.242919921875, 'y1': 343.387939453125, 'x2': 34.73249435424805, 'y2': 41.9339599609375}","{'x': 0.44841828346252444, 'y': 0.30103273391723634}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221830.762792921,6457835.938436585
1102,POINT (2221825.467974043 6457825.366181927),Truck,0.8758522272109985,22,"{'x1': 618.4806518554688, 'y1': 200.40872192382812, 'x2': 23.26844596862793, 'y2': 49.588314056396484}","{'x': 0.5013664722442627, 'y': 0.19531018733978273}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221825.467974043,6457825.366181927
611,POINT (2222044.94459281 6457664.810885983),Truck,0.8753941655158997,10,"{'x1': 94.43782806396484, 'y1': 458.82666015625, 'x2': 42.01054382324219, 'y2': 40.062599182128906}","{'x': 0.10660028457641602, 'y': 0.38975722789764405}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222044.94459281,6457664.810885983
559,POINT (2221929.043024874 6457677.1621676255),Truck,0.8736664056777954,9,"{'x1': 429.266357421875, 'y1': 622.7141723632812, 'x2': 38.72206497192383, 'y2': 34.27145767211914}","{'x': 0.36561596393585205, 'y': 0.5132700443267822}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221929.043024874,6457677.1621676255
557,POINT (2221917.861462927 6457677.588617401),Truck,0.873064398765564,9,"{'x1': 559.2869262695312, 'y1': 619.7205810546875, 'x2': 51.82550048828125, 'y2': 42.723655700683594}","{'x': 0.477431583404541, 'y': 0.5175345420837403}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221917.861462927,6457677.588617401
630,POINT (2222014.773217535 6457644.670743542),Truck,0.8729792833328247,10,"{'x1': 490.14654541015625, 'y1': 196.01995849609375, 'x2': 32.49544906616211, 'y2': 45.07546615600586}","{'x': 0.40831403732299804, 'y': 0.18835580348968506}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222014.773217535,6457644.670743542
449,POINT (2221767.7576769353 6457652.6526304055),Truck,0.8722884654998779,7,"{'x1': 201.53660583496094, 'y1': 295.3489074707031, 'x2': 26.904285430908203, 'y2': 47.9146614074707}","{'x': 0.17846944332122802, 'y': 0.26817467212677004}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221767.7576769353,6457652.6526304055
400,POINT (2221735.771938658 6457656.984295445),Truck,0.8700456619262695,7,"{'x1': 610.834228515625, 'y1': 357.9404602050781, 'x2': 27.024085998535156, 'y2': 40.768436431884766}","{'x': 0.49832682609558104, 'y': 0.31149132251739503}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221735.771938658,6457656.984295445
1195,POINT (2221960.9100241424 6457819.954268532),Truck,0.8699791431427002,23,"{'x1': 36.84226608276367, 'y1': 133.0768585205078, 'x2': 23.248579025268555, 'y2': 47.64768600463867}","{'x': 0.046945971250534055, 'y': 0.14119105339050292}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221960.9100241424,6457819.954268532
926,POINT (2222299.456957674 6457765.638901787),Truck,0.867830216884613,20,"{'x1': 299.19622802734375, 'y1': 612.8739624023438, 'x2': 35.49386215209961, 'y2': 24.613893508911133}","{'x': 0.26147663593292236, 'y': 0.49803738594055175}","{'minx': 2222225.6046212674, 'miny': 6457715.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457815.835163193}",2222299.456957674,6457765.638901787
1089,POINT (2221825.932384825 6457819.939255314),Truck,0.8675211668014526,22,"{'x1': 612.8502197265625, 'y1': 132.96847534179688, 'x2': 22.95442771911621, 'y2': 47.563907623291016}","{'x': 0.4967223644256592, 'y': 0.14104092121124268}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221825.932384825,6457819.939255314
582,POINT (2222013.315302229 6457633.653926449),Truck,0.867155909538269,10,"{'x1': 519.3596801757812, 'y1': 59.63679122924805, 'x2': 21.94359016418457, 'y2': 40.44337463378906}","{'x': 0.42289319038391116, 'y': 0.07818763256072998}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222013.315302229,6457633.653926449
872,POINT (2221920.607067442 6457724.458916979),Truck,0.8669905662536621,16,"{'x1': 535.2000732421875, 'y1': 79.6549301147461, 'x2': 40.768619537353516, 'y2': 30.729114532470703}","{'x': 0.44997553825378417, 'y': 0.08623753786087036}","{'minx': 2221865.6046212674, 'miny': 6457715.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457815.835163193}",2221920.607067442,6457724.458916979
496,POINT (2221867.7588225366 6457657.10925539),Truck,0.8664301633834839,8,"{'x1': 72.17874145507812, 'y1': 352.83831787109375, 'x2': 28.24748420715332, 'y2': 47.47005081176758}","{'x': 0.0784579873085022, 'y': 0.31274092197418213}","{'minx': 2221775.6046212674, 'miny': 6457625.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457725.835163193}",2221867.7588225366,6457657.10925539
1146,POINT (2221853.3986724378 6457825.098567801),Truck,0.8656356334686279,22,"{'x1': 262.2621765136719, 'y1': 198.6644744873047, 'x2': 21.973983764648438, 'y2': 47.907100677490234}","{'x': 0.2220594882965088, 'y': 0.19263404607772827}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221853.3986724378,6457825.098567801
1043,POINT (2221769.2778290273 6457846.332985954),Truck,0.8654195070266724,21,"{'x1': 173.83401489257812, 'y1': 478.3468322753906, 'x2': 35.14891815185547, 'y2': 40.02530288696289}","{'x': 0.16326792240142823, 'y': 0.40497822761535646}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221769.2778290273,6457846.332985954
895,POINT (2222191.803966856 6457759.874965744),Truck,0.8650595545768738,19,"{'x1': 518.5147705078125, 'y1': 538.8868408203125, 'x2': 42.13357925415039, 'y2': 24.822614669799805}","{'x': 0.4380065441131592, 'y': 0.4403980255126953}","{'minx': 2222135.6046212674, 'miny': 6457715.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457815.835163193}",2222191.803966856,6457759.874965744
713,POINT (2222299.3435109616 6457630.6122054625),Truck,0.8643392324447632,13,"{'x1': 299.2809143066406, 'y1': 36.83190155029297, 'x2': 36.86130905151367, 'y2': 24.314241409301758}","{'x': 0.26261110305786134, 'y': 0.04777042269706726}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222299.3435109616,6457630.6122054625
392,POINT (2221774.005863762 6457653.317048149),Truck,0.863926887512207,7,"{'x1': 124.93968200683594, 'y1': 310.8137512207031, 'x2': 23.524415969848633, 'y2': 40.95439147949219}","{'x': 0.1159875750541687, 'y': 0.27481884956359864}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221774.005863762,6457653.317048149
108,POINT (2221928.944343424 6457542.857690649),Truck,0.8637953996658325,2,"{'x1': 428.9617614746094, 'y1': 50.00788116455078, 'x2': 40.28978729248047, 'y2': 39.88046646118164}","{'x': 0.3666027784347534, 'y': 0.0702252745628357}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221928.944343424,6457542.857690649
1263,POINT (2222126.1513055325 6457830.298325615),Truck,0.8632575273513794,25,"{'x1': 216.9862060546875, 'y1': 272.5069274902344, 'x2': 32.016239166259766, 'y2': 40.621559143066406}","{'x': 0.1945331573486328, 'y': 0.24463162422180176}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222126.1513055325,6457830.298325615
371,POINT (2221769.725569582 6457644.995551901),Truck,0.8626912832260132,7,"{'x1': 181.3917236328125, 'y1': 197.00741577148438, 'x2': 21.86013412475586, 'y2': 48.24555969238281}","{'x': 0.1587905168533325, 'y': 0.19160388708114623}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221769.725569582,6457644.995551901
405,POINT (2221746.289826727 6457666.574146347),Truck,0.8626547455787659,7,"{'x1': 468.0221252441406, 'y1': 475.3400573730469, 'x2': 35.207244873046875, 'y2': 46.11894989013672}","{'x': 0.39314794540405273, 'y': 0.40738983154296876}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221746.289826727,6457666.574146347
320,POINT (2222231.9534094096 6457555.27863224),Truck,0.8620272874832153,5,"{'x1': 24.155366897583008, 'y1': 205.20799255371094, 'x2': 22.58014488220215, 'y2': 43.66840744018555}","{'x': 0.03651211857795715, 'y': 0.19443469047546386}","{'minx': 2222135.6046212674, 'miny': 6457535.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457635.835163193}",2222231.9534094096,6457555.27863224
1027,POINT (2221777.3252190114 6457840.965129929),Truck,0.861005425453186,21,"{'x1': 65.85179138183594, 'y1': 406.3290100097656, 'x2': 40.12456130981445, 'y2': 43.334564208984375}","{'x': 0.08279402256011963, 'y': 0.35129966735839846}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221777.3252190114,6457840.965129929
215,POINT (2222115.2346457005 6457579.575969772),Truck,0.8609656095504761,4,"{'x1': 367.1324768066406, 'y1': 515.4390258789062, 'x2': 21.60321044921875, 'y2': 44.44329071044922}","{'x': 0.30369975566864016, 'y': 0.4374080657958984}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222115.2346457005,6457579.575969772
192,POINT (2222096.8770564557 6457555.296467142),Truck,0.8607578277587891,4,"{'x1': 600.8773803710938, 'y1': 205.6424102783203, 'x2': 22.835460662841797, 'y2': 43.462276458740234}","{'x': 0.4872756481170654, 'y': 0.1946130394935608}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222096.8770564557,6457555.296467142
84,POINT (2221939.247783518 6457550.688228207),Truck,0.8589403033256531,2,"{'x1': 292.6479797363281, 'y1': 148.0400390625, 'x2': 44.71953582763672, 'y2': 42.079185485839844}","{'x': 0.263568377494812, 'y': 0.14853065013885497}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221939.247783518,6457550.688228207
324,POINT (2222228.0447484017 6457546.546194153),Truck,0.8571010828018188,5,"{'x1': 56.65277862548828, 'y1': 112.59213256835938, 'x2': 40.11359786987305, 'y2': 24.509057998657227}","{'x': 0.0755987286567688, 'y': 0.10711030960083008}","{'minx': 2222135.6046212674, 'miny': 6457535.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457635.835163193}",2222228.0447484017,6457546.546194153
1182,POINT (2221945.61301837 6457837.185949879),Truck,0.8545528650283813,23,"{'x1': 235.1397247314453, 'y1': 363.53704833984375, 'x2': 20.752792358398438, 'y2': 37.753028869628906}","{'x': 0.19991602897644042, 'y': 0.31350786685943605}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221945.61301837,6457837.185949879
1107,POINT (2221825.754438734 6457830.642931061),Truck,0.8544827699661255,22,"{'x1': 612.2874755859375, 'y1': 265.2895202636719, 'x2': 25.794876098632812, 'y2': 52.24989318847656}","{'x': 0.4985018253326416, 'y': 0.2480776786804199}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221825.754438734,6457830.642931061
1260,POINT (2222121.554025507 6457817.11625536),Truck,0.8525465726852417,25,"{'x1': 279.8570251464844, 'y1': 103.73351287841797, 'x2': 27.9905948638916, 'y2': 40.664466857910156}","{'x': 0.24050595760345458, 'y': 0.11281092166900634}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222121.554025507,6457817.11625536
856,POINT (2221758.0814350606 6457742.428206997),Truck,0.851628303527832,14,"{'x1': 325.7297058105469, 'y1': 285.05999755859375, 'x2': 26.567089080810547, 'y2': 55.33097457885742}","{'x': 0.2752318620681763, 'y': 0.26593043804168703}","{'minx': 2221685.6046212674, 'miny': 6457715.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457815.835163193}",2221758.0814350606,6457742.428206997
584,POINT (2222018.563777304 6457637.471646862),Truck,0.8508833646774292,10,"{'x1': 449.461181640625, 'y1': 108.17540740966797, 'x2': 24.661623001098633, 'y2': 40.771575927734375}","{'x': 0.3704084396362305, 'y': 0.11636483669281006}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222018.563777304,6457637.471646862
848,POINT (2221773.0775559903 6457755.561372833),Truck,0.850590169429779,14,"{'x1': 121.45685577392578, 'y1': 478.31103515625, 'x2': 38.88957214355469, 'y2': 30.18445587158203}","{'x': 0.12527065277099608, 'y': 0.3972620964050293}","{'minx': 2221685.6046212674, 'miny': 6457715.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457815.835163193}",2221773.0775559903,6457755.561372833
996,POINT (2221734.517937994 6457840.9789486695),Truck,0.8505027294158936,21,"{'x1': 607.30078125, 'y1': 420.54547119140625, 'x2': 46.60879135131836, 'y2': 29.294984817504883}","{'x': 0.5108668327331543, 'y': 0.3514378547668457}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221734.517937994,6457840.9789486695
