,geometry,class,confidence,tile_id,original_yolo,normalized,bbox_coords,x,y
813,POINT (2221781.4595154882 6457757.15170105),Truck,0.8087317943572998,14,"{'x1': 19.33411407470703, 'y1': 506.2771301269531, 'x2': 33.72323989868164, 'y2': 22.57455062866211}","{'x': 0.0414510577917099, 'y': 0.41316537857055663}","{'minx': 2221685.6046212674, 'miny': 6457715.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457815.835163193}",2221781.4595154882,6457757.15170105
933,POINT (2222274.168454504 6457748.147344189),Truck,0.8078664541244507,20,"{'x1': 611.170166015625, 'y1': 381.95745849609375, 'x2': 47.21274948120117, 'y2': 31.638456344604492}","{'x': 0.5143616676330567, 'y': 0.32312180995941164}","{'minx': 2222225.6046212674, 'miny': 6457715.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457815.835163193}",2222274.168454504,6457748.147344189
1279,POINT (2221828.6429227353 6457919.361612396),Truck,0.8037181496620178,29,"{'x1': 581.5079345703125, 'y1': 265.0385437011719, 'x2': 19.60177993774414, 'y2': 36.100006103515625}","{'x': 0.4696169853210449, 'y': 0.23526449203491212}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221828.6429227353,6457919.361612396
176,POINT (2222096.632405615 6457547.7413042355),Truck,0.803450345993042,4,"{'x1': 578.6275024414062, 'y1': 123.68670654296875, 'x2': 48.21683883666992, 'y2': 28.71189308166504}","{'x': 0.4897221565246582, 'y': 0.1190614104270935}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222096.632405615,6457547.7413042355
38,POINT (2221853.3455003262 6457556.367446976),Truck,0.802942156791687,1,"{'x1': 234.85098266601562, 'y1': 237.1602325439453, 'x2': 50.06575393676758, 'y2': 25.653003692626953}","{'x': 0.22259120941162108, 'y': 0.20532283782958985}","{'minx': 2221775.6046212674, 'miny': 6457535.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457635.835163193}",2221853.3455003262,6457556.367446976
1210,POINT (2221955.1515401364 6457850.616185265),Truck,0.8028268218040466,23,"{'x1': 88.89431762695312, 'y1': 543.8974609375, 'x2': 44.905120849609375, 'y2': 29.299640655517578}","{'x': 0.10453081130981445, 'y': 0.4478102207183838}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221955.1515401364,6457850.616185265
774,POINT (2222291.7286814214 6457631.3536353875),Truck,0.8022376298904419,13,"{'x1': 395.2434387207031, 'y1': 42.60209655761719, 'x2': 38.368595123291016, 'y2': 28.034347534179688}","{'x': 0.33875939846038816, 'y': 0.05518472194671631}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222291.7286814214,6457631.3536353875
44,POINT (2221856.215926504 6457561.502508717),Truck,0.8016002178192139,1,"{'x1': 202.3413848876953, 'y1': 305.4678955078125, 'x2': 45.83391189575195, 'y2': 23.074127197265625}","{'x': 0.19388694763183595, 'y': 0.2566734552383423}","{'minx': 2221775.6046212674, 'miny': 6457535.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457635.835163193}",2221856.215926504,6457561.502508717
217,POINT (2222121.0126722814 6457581.686846809),Truck,0.8015346527099609,4,"{'x1': 290.13946533203125, 'y1': 540.2210693359375, 'x2': 24.637483596801758, 'y2': 46.68046188354492}","{'x': 0.24591948986053466, 'y': 0.45851683616638184}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222121.0126722814,6457581.686846809
1132,POINT (2221857.240442133 6457816.667961674),Truck,0.7921857833862305,22,"{'x1': 191.28070068359375, 'y1': 115.93898010253906, 'x2': 43.78079605102539, 'y2': 22.720834732055664}","{'x': 0.18364179134368896, 'y': 0.10832798480987549}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221857.240442133,6457816.667961674
1193,POINT (2221947.02083478 6457818.830220299),Truck,0.7887850999832153,23,"{'x1': 213.47657775878906, 'y1': 120.35835266113281, 'x2': 24.395883560180664, 'y2': 45.97837448120117}","{'x': 0.18583786487579346, 'y': 0.12995057106018065}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221947.02083478,6457818.830220299
1081,POINT (2221826.1280120374 6457814.914030628),Truck,0.7871675491333008,22,"{'x1': 611.642333984375, 'y1': 70.07762145996094, 'x2': 21.658267974853516, 'y2': 46.13188171386719}","{'x': 0.494766092300415, 'y': 0.09078867435455322}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221826.1280120374,6457814.914030628
588,POINT (2222019.7682274343 6457643.920415239),Truck,0.7845328450202942,10,"{'x1': 422.7826843261719, 'y1': 187.59486389160156, 'x2': 35.92316436767578, 'y2': 43.8963623046875}","{'x': 0.358363938331604, 'y': 0.18085252046585082}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222019.7682274343,6457643.920415239
1183,POINT (2221961.8376816274 6457809.343958693),Truck,0.7844630479812622,23,"{'x1': 27.63631820678711, 'y1': 14.421096801757812, 'x2': 20.580507278442383, 'y2': 30.491487503051758}","{'x': 0.03766939640045166, 'y': 0.035087954998016355}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221961.8376816274,6457809.343958693
1190,POINT (2221961.0465807677 6457814.901899295),Truck,0.7824486494064331,23,"{'x1': 35.91461944580078, 'y1': 69.988525390625, 'x2': 22.428298950195312, 'y2': 46.065696716308594}","{'x': 0.04558040499687195, 'y': 0.09066736102104186}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221961.0465807677,6457814.901899295
792,POINT (2222306.9107128144 6457645.8010240365),Truck,0.7736053466796875,13,"{'x1': 208.85350036621094, 'y1': 219.70053100585938, 'x2': 30.428525924682617, 'y2': 35.862491607666016}","{'x': 0.1869390845298767, 'y': 0.19965860843658448}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222306.9107128144,6457645.8010240365
703,POINT (2222204.4665516377 6457674.861461716),Truck,0.7719703316688538,12,"{'x1': 352.9834289550781, 'y1': 600.4225463867188, 'x2': 45.5838737487793, 'y2': 27.11408805847168}","{'x': 0.3113806962966919, 'y': 0.4902629852294922}","{'minx': 2222135.6046212674, 'miny': 6457625.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457725.835163193}",2222204.4665516377,6457674.861461716
790,POINT (2222300.9523881436 6457643.841657238),Truck,0.7719458341598511,13,"{'x1': 281.7546691894531, 'y1': 208.10211181640625, 'x2': 33.79389953613281, 'y2': 22.38101577758789}","{'x': 0.24652233123779296, 'y': 0.18006494045257568}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222300.9523881436,6457643.841657238
237,POINT (2222131.995878315 6457552.276908951),Truck,0.7687768340110779,4,"{'x1': 137.29495239257812, 'y1': 175.01805114746094, 'x2': 36.89695739746094, 'y2': 35.43629455566406}","{'x': 0.13608742952346803, 'y': 0.16441745758056642}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222131.995878315,6457552.276908951
1130,POINT (2221841.9420922757 6457815.372653799),Truck,0.7686811685562134,22,"{'x1': 384.3580627441406, 'y1': 99.35667419433594, 'x2': 46.52231216430664, 'y2': 22.723207473754883}","{'x': 0.3366252899169922, 'y': 0.09537490606307983}","{'minx': 2221775.6046212674, 'miny': 6457805.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457905.835163193}",2221841.9420922757,6457815.372653799
207,POINT (2222134.817270136 6457568.847729759),Truck,0.7658004760742188,4,"{'x1': 98.78218078613281, 'y1': 388.7907409667969, 'x2': 39.2959098815918, 'y2': 33.77012252807617}","{'x': 0.10787351131439209, 'y': 0.33012566566467283}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222134.817270136,6457568.847729759
1339,POINT (2221845.7106936933 6457923.658279972),Truck,0.7580931186676025,29,"{'x1': 341.72808837890625, 'y1': 334.02008056640625, 'x2': 40.9141960144043, 'y2': 22.11581039428711}","{'x': 0.29893927574157714, 'y': 0.27823116779327395}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221845.7106936933,6457923.658279972
1055,POINT (2221746.691039896 6457848.9251776505),Truck,0.7513787746429443,21,"{'x1': 455.45672607421875, 'y1': 505.24237060546875, 'x2': 42.63710403442383, 'y2': 46.30982971191406}","{'x': 0.3891358137130737, 'y': 0.43090014457702636}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221746.691039896,6457848.9251776505
1233,POINT (2221952.88634429 6457856.95302208),Truck,0.7454726696014404,23,"{'x1': 117.97573852539062, 'y1': 625.2069091796875, 'x2': 44.818214416503906, 'y2': 29.10171127319336}","{'x': 0.12718276977539061, 'y': 0.5111785888671875}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221952.88634429,6457856.95302208
891,POINT (2221914.4036305905 6457730.771710472),Truck,0.7449504137039185,16,"{'x1': 623.0647583007812, 'y1': 160.77137756347656, 'x2': 32.30791091918945, 'y2': 30.416419982910156}","{'x': 0.5120099067687989, 'y': 0.1493654727935791}","{'minx': 2221865.6046212674, 'miny': 6457715.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457815.835163193}",2221914.4036305905,6457730.771710472
404,POINT (2221734.889956808 6457663.619618015),Truck,0.7437106966972351,7,"{'x1': 630.6494140625, 'y1': 436.60394287109375, 'x2': 18.498275756835938, 'y2': 47.03707504272461}","{'x': 0.5071466445922852, 'y': 0.3778445482254028}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221734.889956808,6457663.619618015
276,POINT (2222118.709355688 6457565.50006588),Truck,0.7427918314933777,4,"{'x1': 315.5387878417969, 'y1': 323.9757080078125, 'x2': 28.720626831054688, 'y2': 55.735042572021484}","{'x': 0.2689526557922363, 'y': 0.29664902687072753}","{'minx': 2222045.6046212674, 'miny': 6457535.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457635.835163193}",2222118.709355688,6457565.50006588
814,POINT (2221780.232291317 6457763.187949257),Truck,0.7398384213447571,14,"{'x1': 28.014488220214844, 'y1': 581.1744995117188, 'x2': 40.7513313293457, 'y2': 24.941160202026367}","{'x': 0.05372329950332642, 'y': 0.4735278606414795}","{'minx': 2221685.6046212674, 'miny': 6457715.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457815.835163193}",2221780.232291317,6457763.187949257
959,POINT (2222291.426349974 6457764.1831513215),Truck,0.73511803150177,20,"{'x1': 397.653564453125, 'y1': 593.1843872070312, 'x2': 39.82829666137695, 'y2': 25.669864654541016}","{'x': 0.3417827129364014, 'y': 0.4834798812866211}","{'minx': 2222225.6046212674, 'miny': 6457715.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457815.835163193}",2222291.426349974,6457764.1831513215
818,POINT (2221775.059423542 6457741.2161727715),Truck,0.7231621742248535,14,"{'x1': 92.89292907714844, 'y1': 292.56341552734375, 'x2': 42.08559799194336, 'y2': 32.313499450683594}","{'x': 0.10545197725296021, 'y': 0.25381009578704833}","{'minx': 2221685.6046212674, 'miny': 6457715.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457815.835163193}",2221775.059423542,6457741.2161727715
376,POINT (2221739.418212271 6457646.959569054),Truck,0.7217167615890503,7,"{'x1': 559.2332153320312, 'y1': 222.60682678222656, 'x2': 31.95284080505371, 'y2': 47.785560607910156}","{'x': 0.4618640899658203, 'y': 0.2112440586090088}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221739.418212271,6457646.959569054
527,POINT (2221913.2636321546 6457644.12510355),Truck,0.716740608215332,9,"{'x1': 611.0220336914062, 'y1': 192.27418518066406, 'x2': 58.942649841308594, 'y2': 41.83704376220703}","{'x': 0.5234098911285401, 'y': 0.1828994035720825}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221913.2636321546,6457644.12510355
724,POINT (2222309.9270630837 6457630.7517214585),Truck,0.716277003288269,13,"{'x1': 177.35520935058594, 'y1': 21.69481086730957, 'x2': 23.31753158569336, 'y2': 41.23713302612305}","{'x': 0.15677558183670043, 'y': 0.04916558265686035}","{'minx': 2222225.6046212674, 'miny': 6457625.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457725.835163193}",2222309.9270630837,6457630.7517214585
1299,POINT (2221857.5299752713 6457909.39605196),Truck,0.7154175639152527,29,"{'x1': 209.93551635742188, 'y1': 123.8854751586914, 'x2': 21.41994857788086, 'y2': 49.69390106201172}","{'x': 0.1807464599609375, 'y': 0.13560888767242432}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221857.5299752713,6457909.39605196
15,POINT (2221859.958212471 6457558.089663582),Truck,0.7129161357879639,1,"{'x1': 154.3287353515625, 'y1': 261.33563232421875, 'x2': 45.9453010559082, 'y2': 23.521987915039062}","{'x': 0.15646408796310424, 'y': 0.22254500389099122}","{'minx': 2221775.6046212674, 'miny': 6457535.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457635.835163193}",2221859.958212471,6457558.089663582
896,POINT (2222196.6277421475 6457761.388499336),Truck,0.712348461151123,19,"{'x1': 456.0206298828125, 'y1': 557.0914306640625, 'x2': 42.8834342956543, 'y2': 25.991300582885742}","{'x': 0.3897687911987305, 'y': 0.4555333614349365}","{'minx': 2222135.6046212674, 'miny': 6457715.835163193, 'maxx': 2222235.6046212674, 'maxy': 6457815.835163193}",2222196.6277421475,6457761.388499336
940,POINT (2222309.991448021 6457765.770203667),Truck,0.6975792050361633,20,"{'x1': 177.1842041015625, 'y1': 597.4093017578125, 'x2': 22.664409637451172, 'y2': 41.759220123291016}","{'x': 0.15613173246383666, 'y': 0.49935040473937986}","{'minx': 2222225.6046212674, 'miny': 6457715.835163193, 'maxx': 2222325.6046212674, 'maxy': 6457815.835163193}",2222309.991448021,6457765.770203667
39,POINT (2221870.8866188885 6457559.547252255),Truck,0.6954204440116882,1,"{'x1': 20.133007049560547, 'y1': 275.27801513671875, 'x2': 40.257423400878906, 'y2': 28.236719131469727}","{'x': 0.04718002378940582, 'y': 0.2371208906173706}","{'minx': 2221775.6046212674, 'miny': 6457535.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457635.835163193}",2221870.8866188885,6457559.547252255
867,POINT (2221934.777246809 6457724.44108923),Truck,0.6952775120735168,16,"{'x1': 351.6890563964844, 'y1': 77.08013916015625, 'x2': 42.901344299316406, 'y2': 33.07571029663086}","{'x': 0.3082737445831299, 'y': 0.08605926036834717}","{'minx': 2221865.6046212674, 'miny': 6457715.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457815.835163193}",2221934.777246809,6457724.44108923
